"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{8b/",0,"M6/8","G:",1,"^7","8","b",FALSE,"[b]",NA,71
2,"4b/",1,"M6/8","G:",1,"7","4","b",FALSE,"P1",1,71
3,"8b/",1,"M6/8","G:",1,"7","8","b",FALSE,"P1",1,71
4,"(8.b",1,"M6/8","G:",1,"7","8.","b",FALSE,"P1",1,71
5,"16cc)",1,"M6/8","G:",1,"^1","16","cc",FALSE,"+m2",2,72
6,"8dd",1,"M6/8","G:",1,"^2","8","dd",FALSE,"+M2",2,74
7,"4dd",2,"M6/8","G:",1,"2","4","dd",FALSE,"P1",1,74
8,"8cc",2,"M6/8","G:",1,"v1","8","cc",TRUE,"-M2",2,72
9,"8cc",2,"M6/8","G:",1,"1","8","cc",FALSE,"P1",1,72
10,"8r}",2,"M6/8","G:",1,NA,"8",NA,FALSE,NA,NA,NA
11,"{8b/",2,"M6/8","G:",2,"v7","8","b",FALSE,"[b]",NA,71
12,"4a",3,"M6/8","G:",2,"v6","4","a",TRUE,"-M2",2,69
13,"8a",3,"M6/8","G:",2,"6","8","a",FALSE,"P1",1,69
14,"8.a",3,"M6/8","G:",2,"6","8.","a",FALSE,"P1",1,69
15,"16g",3,"M6/8","G:",2,"v5","16","g",TRUE,"-M2",2,67
16,"8a",3,"M6/8","G:",2,"^6","8","a",FALSE,"+M2",2,69
17,"8b/",4,"M6/8","G:",2,"^7","8","b",FALSE,"+M2",2,71
18,"8b/",4,"M6/8","G:",2,"7","8","b",FALSE,"P1",1,71
19,"8r",4,"M6/8","G:",2,NA,"8",NA,FALSE,NA,NA,NA
20,"4r}",4,"M6/8","G:",2,NA,"4",NA,FALSE,NA,NA,NA
21,"{(16b/L",4,"M6/8","G:",3,"7","16","b",FALSE,"[b]",NA,71
22,"16ccJ)",4,"M6/8","G:",3,"^1","16","cc",FALSE,"+m2",2,72
23,"4dd/",5,"M6/8","G:",3,"^2","4","dd",FALSE,"+M2",2,74
24,"8dd/",5,"M6/8","G:",3,"2","8","dd",FALSE,"P1",1,74
25,"8.dd/",5,"M6/8","G:",3,"2","8.","dd",FALSE,"P1",1,74
26,"16cc/",5,"M6/8","G:",3,"v1","16","cc",TRUE,"-M2",2,72
27,"8dd/",5,"M6/8","G:",3,"^2","8","dd",FALSE,"+M2",2,74
28,"4ee/",6,"M6/8","G:",3,"^3","4","ee",FALSE,"+M2",2,76
29,"8cc/",6,"M6/8","G:",3,"v1","8","cc",TRUE,"-M3",3,72
30,"4cc/}",6,"M6/8","G:",3,"1","4","cc",FALSE,"P1",1,72
31,"{8ee",6,"M6/8","G:",4,"^3","8","ee",FALSE,"+M3",3,76
32,"(8.dd",7,"M6/8","G:",4,"v2","8.","dd",TRUE,"-M2",2,74
33,"16ee)",7,"M6/8","G:",4,"^3","16","ee",FALSE,"+M2",2,76
34,"8dd",7,"M6/8","G:",4,"v2","8","dd",TRUE,"-M2",2,74
35,"(8.cc",7,"M6/8","G:",4,"v1","8.","cc",TRUE,"-M2",2,72
36,"16dd)",7,"M6/8","G:",4,"^2","16","dd",FALSE,"+M2",2,74
37,"8cc",7,"M6/8","G:",4,"v1","8","cc",TRUE,"-M2",2,72
38,"(8.bL",8,"M6/8","G:",4,"v7","8.","b",TRUE,"-m2",2,71
39,"16cc",8,"M6/8","G:",4,"^1","16","cc",FALSE,"+m2",2,72
40,"8ddJ",8,"M6/8","G:",4,"^2","8","dd",FALSE,"+M2",2,74
41,"8ccL",8,"M6/8","G:",4,"v1","8","cc",TRUE,"-M2",2,72
42,"8b}",8,"M6/8","G:",4,"v7","8","b",TRUE,"-m2",2,71
43,"{8aJ",8,"M6/8","G:",5,"v6","8","a",TRUE,"-M2",2,69
44,"8b)",9,"M6/8","G:",5,"^7","8","b",FALSE,"+M2",2,71
45,"8b",9,"M6/8","G:",5,"7","8","b",FALSE,"P1",1,71
46,"8r",9,"M6/8","G:",5,NA,"8",NA,FALSE,NA,NA,NA
47,"4r",9,"M6/8","G:",5,NA,"4",NA,FALSE,NA,NA,NA
48,"8a",9,"M6/8","G:",5,"v6","8","a",FALSE,"[a]",NA,69
49,"8g",10,"M6/8","G:",5,"v5","8","g",TRUE,"-M2",2,67
50,"8g",10,"M6/8","G:",5,"5","8","g",FALSE,"P1",1,67
51,"8r",10,"M6/8","G:",5,NA,"8",NA,FALSE,NA,NA,NA
52,"4r}",10,"M6/8","G:",5,NA,"4",NA,FALSE,NA,NA,NA
